street_name,chars
וויצמן שד,ו ו י צ מ ן   ש ד
מולר ביחר,מ ו ל ר   ב י ח ר
סמ' דגניה ב,ס מ '   ד ג נ י ה   ב
ליסין אברהם,ל י ס י ן   א ב ר ה ם
סמ נחל שני,ס מ   נ ח ל   ש נ י
בדר,ב ד ר
הצלצלים,ה צ ל צ ל י ם
הטסגי אהרן,ה ט ס ג י   א ה ר ן
משעול התנאים,מ ש ע ו ל   ה ת נ א י ם
בית נער תל ברוך,ב י ת   נ ע ר   ת ל   ב ר ו ך
"הפסגות צ""י","ה פ ס ג ו ת   צ "" י"
אל-חנדק,א ל - ח נ ד ק
תיסלם,ת י ס ל ם
גיבתון חנוך,ג י ב ת ו ן   ח נ ו ך
חכמי יון,ח כ מ י   י ו ן
שכ אל ביר,ש כ   א ל   ב י ר
כפר נוער מנוף,כ פ ר   נ ו ע ר   מ נ ו ף
שדרות הסתדרות,ש ד ר ו ת   ה ס ת ד ר ו ת
הלן קלר,ה ל ן   ק ל ר
טלמון יעקב,ט ל מ ו ן   י ע ק ב
טוראי דוד שירזי,ט ו ר א י   ד ו ד   ש י ר ז י
אל עסר,א ל   ע ס ר
עקבת אל בטי,ע ק ב ת   א ל   ב ט י
נתיב אפיקים,נ ת י ב   א פ י ק י ם
"ד""ר פוגל","ד "" ר   פ ו ג ל"
דוד וולפסון,ד ו ד   ו ו ל פ ס ו ן
הוסטל עצמאות,ה ו ס ט ל   ע צ מ א ו ת
תאודור בודנהימר,ת א ו ד ו ר   ב ו ד נ ה י מ ר
שכונת גבים,ש כ ו נ ת   ג ב י ם
אבו חצירא,א ב ו   ח צ י ר א
פנחס רוזן,פ נ ח ס   ר ו ז ן
עש אל-ג'וראב,ע ש   א ל - ג ' ו ר א ב
מעפיל מרוקו,מ ע פ י ל   מ ר ו ק ו
לסקר פרץ,ל ס ק ר   פ ר ץ
ד'את אל נטאקין,ד ' א ת   א ל   נ ט א ק י ן
הרב אפריאט,ה ר ב   א פ ר י א ט
סמ הפקאן,ס מ   ה פ ק א ן
תופאח,ת ו פ א ח
ביחר טית בית,ב י ח ר   ט י ת   ב י ת
אבו שהאב,א ב ו   ש ה א ב
אל אוסתאד',א ל   א ו ס ת א ד '
מיכאלי,מ י כ א ל י
נטף,נ ט ף
אל ג'וזה,א ל   ג ' ו ז ה
עתלית א,ע ת ל י ת   א
אור עקיבא מע,א ו ר   ע ק י ב א   מ ע
הצפורנים סמטה,ה צ פ ו ר נ י ם   ס מ ט ה
שמריה,ש מ ר י ה
מלון גלי כנרת,מ ל ו ן   ג ל י   כ נ ר ת
שכ ורדים,ש כ   ו ר ד י ם
שכונת עמית,ש כ ו נ ת   ע מ י ת
אל בלאטה,א ל   ב ל א ט ה
אלכרך,א ל כ ר ך
בתי הורנשטיין,ב ת י   ה ו ר נ ש ט י י ן
ב חלוצים ב,ב   ח ל ו צ י ם   ב
אליוט ג'ורג',א ל י ו ט   ג ' ו ר ג '
נאות הדר,נ א ו ת   ה ד ר
תוניס,ת ו נ י ס
גינצבורג דוד,ג י נ צ ב ו ר ג   ד ו ד
רמת יוסף מעון,ר מ ת   י ו ס ף   מ ע ו ן
אל-נאבלסי,א ל - נ א ב ל ס י
כיכר אריה זקס,כ י כ ר   א ר י ה   ז ק ס
השמש,ה ש מ ש
הורקנוס אליע,ה ו ר ק נ ו ס   א ל י ע
עפרית,ע פ ר י ת
ברדיצ'בסקי,ב ר ד י צ ' ב ס ק י
ש גבעת עמל א,ש   ג ב ע ת   ע מ ל   א
"ביל""ויים","ב י ל "" ו י י ם"
הסראיה,ה ס ר א י ה
אלזייתון,א ל ז י י ת ו ן
מאירוביץ',מ א י ר ו ב י ץ '
דרך יפו תל אביב,ד ר ך   י פ ו   ת ל   א ב י ב
הדסה למפל,ה ד ס ה   ל מ פ ל
א סיידה,א   ס י י ד ה
אלג'מאמה,א ל ג ' מ א מ ה
השושנה,ה ש ו ש נ ה
פישל א בל ג,פ י ש ל   א   ב ל   ג
קרית שפרינצק,ק ר י ת   ש פ ר י נ צ ק
שכ גבעת בגין,ש כ   ג ב ע ת   ב ג י ן
אטרש,א ט ר ש
שכ קפלן,ש כ   ק פ ל ן
"הרא""ה","ה ר א "" ה"
יוסף זימן,י ו ס ף   ז י מ ן
מרים,מ ר י ם
מע'ר אלדור,מ ע ' ר   א ל ד ו ר
נחום התנא,נ ח ו ם   ה ת נ א
הסנר הוגו,ה ס נ ר   ה ו ג ו
עין  סהלה,ע י ן     ס ה ל ה
רח רט,ר ח   ר ט
המושבה האמריקאית,ה מ ו ש ב ה   ה א מ ר י ק א י ת
האומן מעלות,ה א ו מ ן   מ ע ל ו ת
ש עמדר א פג,ש   ע מ ד ר   א   פ ג
מרכז רפואי קפלן,מ ר כ ז   ר פ ו א י   ק פ ל ן
פנימית אורט,פ נ י מ י ת   א ו ר ט
מרקובצקי,מ ר ק ו ב צ ק י
אבלס ולטר,א ב ל ס   ו ל ט ר
קרית נדבורנא,ק ר י ת   נ ד ב ו ר נ א
טורונטו,ט ו ר ו נ ט ו
רח נו כ שלם,ר ח   נ ו   כ   ש ל ם
ככר רמה,כ כ ר   ר מ ה
כיכר הרעות,כ י כ ר   ה ר ע ו ת
יוסף אל סדיק,י ו ס ף   א ל   ס ד י ק
ביח שמואל הרופא,ב י ח   ש מ ו א ל   ה ר ו פ א
ההמצאה,ה ה מ צ א ה
דיזיגוף,ד י ז י ג ו ף
סמ ספרון,ס מ   ס פ ר ו ן
ככר אופנבך ז'ק,כ כ ר   א ו פ נ ב ך   ז ' ק
כביר סמטה,כ ב י ר   ס מ ט ה
ש הזמר העברי,ש   ה ז מ ר   ה ע ב ר י
נתיב יום טוב,נ ת י ב   י ו ם   ט ו ב
בן שמןשכון,ב ן   ש מ ן ש כ ו ן
אלת'אמין מין אדאר,א ל ת ' א מ י ן   מ י ן   א ד א ר
שימחוני אסף,ש י מ ח ו נ י   א ס ף
צריפי עמידר,צ ר י פ י   ע מ י ד ר
וינשל אברהם,ו י נ ש ל   א ב ר ה ם
פרדס איראני,פ ר ד ס   א י ר א נ י
"כ""א בכסלו","כ "" א   ב כ ס ל ו"
יהושע הצורף,י ה ו ש ע   ה צ ו ר ף
ביח מזרע,ב י ח   מ ז ר ע
טהיו,ט ה י ו
הישפה,ה י ש פ ה
פנחס בן יאיר,פ נ ח ס   ב ן   י א י ר
מרכז אזורי,מ ר כ ז   א ז ו ר י
הרב דוד בוזגלו,ה ר ב   ד ו ד   ב ו ז ג ל ו
משעול בן שטח,מ ש ע ו ל   ב ן   ש ט ח
"הגבעה ג""ע","ה ג ב ע ה   ג "" ע"
ש גני סביון,ש   ג נ י   ס ב י ו ן
זילברג משה,ז י ל ב ר ג   מ ש ה
אלקרונפול,א ל ק ר ו נ פ ו ל
חפר חיים,ח פ ר   ח י י ם
צבעוני,צ ב ע ו נ י
סמואלסון פול,ס מ ו א ל ס ו ן   פ ו ל
גב מרדכי שכ,ג ב   מ ר ד כ י   ש כ
צוייפל,צ ו י י פ ל
הרב כהן חוויתה,ה ר ב   כ ה ן   ח ו ו י ת ה
מילרוד,מ י ל ר ו ד
החייל סמ,ה ח י י ל   ס מ
איברהים נימר חוסין,א י ב ר ה י ם   נ י מ ר   ח ו ס י ן
ש הואדי,ש   ה ו א ד י
בן גל,ב ן   ג ל
שכ פטיו,ש כ   פ ט י ו
ארזי יהודה,א ר ז י   י ה ו ד ה
תל ארד,ת ל   א ר ד
רחל,ר ח ל
אל ח'לפאא,א ל   ח ' ל פ א א
ש ערוני ח,ש   ע ר ו נ י   ח
ש מאור חיים,ש   מ א ו ר   ח י י ם
סמ זינגר יהודה,ס מ   ז י נ ג ר   י ה ו ד ה
הר בוקר,ה ר   ב ו ק ר
עזרן יוסף,ע ז ר ן   י ו ס ף
שרבני יהושע,ש ר ב נ י   י ה ו ש ע
עמק חרוד,ע מ ק   ח ר ו ד
מגדלי אשכול,מ ג ד ל י   א ש כ ו ל
להרן אחים,ל ה ר ן   א ח י ם
אלנבי ככר,א ל נ ב י   כ כ ר
נחמן גלמן,נ ח מ ן   ג ל מ ן
נמיה,נ מ י ה
חוש אל מוקת,ח ו ש   א ל   מ ו ק ת
סלוניקיו,ס ל ו נ י ק י ו
רוקפלר מוזום,ר ו ק פ ל ר   מ ו ז ו ם
ש שומר חומות,ש   ש ו מ ר   ח ו מ ו ת
אלזאן,א ל ז א ן
רמונים,ר מ ו נ י ם
ש אהל משה,ש   א ה ל   מ ש ה
וינצקי,ו י נ צ ק י
וינשטיין נחום,ו י נ ש ט י י ן   נ ח ו ם
מייגור טאלוק,מ י י ג ו ר   ט א ל ו ק
רח ב כ סומל,ר ח   ב   כ   ס ו מ ל
זרנוגה צריפים,ז ר נ ו ג ה   צ ר י פ י ם
ש פת,ש   פ ת
מעלות קדושי טלז,מ ע ל ו ת   ק ד ו ש י   ט ל ז
אל טייבה,א ל   ט י י ב ה
עומר עבד אלעזיז,ע ו מ ר   ע ב ד   א ל ע ז י ז
יצחק בן חנן,י צ ח ק   ב ן   ח נ ן
מעלות זע'ל,מ ע ל ו ת   ז ע ' ל
ברזילי משה,ב ר ז י ל י   מ ש ה
ש ראשונים,ש   ר א ש ו נ י ם
ככר מלכי יהודה,כ כ ר   מ ל כ י   י ה ו ד ה
דרך צרפת,ד ר ך   צ ר פ ת
גבעת האירוס,ג ב ע ת   ה א י ר ו ס
גבעת צבי,ג ב ע ת   צ ב י
אל ווטוס,א ל   ו ו ט ו ס
"ש גבעת עדה ג""ע","ש   ג ב ע ת   ע ד ה   ג "" ע"
אל-ת'וריא,א ל - ת ' ו ר י א
אל אקואס,א ל   א ק ו א ס
שכונת הלל,ש כ ו נ ת   ה ל ל
אלגמאל,א ל ג מ א ל
ג שאון אג יש,ג   ש א ו ן   א ג   י ש
ק מטרסדורף ב,ק   מ ט ר ס ד ו ר ף   ב
ההגנה שד,ה ה ג נ ה   ש ד
קול מבשר,ק ו ל   מ ב ש ר
הקליר אלעזר,ה ק ל י ר   א ל ע ז ר
דרך שלמה,ד ר ך   ש ל מ ה
הר אלדד,ה ר   א ל ד ד
אזבס גסי כה,א ז ב ס   ג ס י   כ ה
פרדס סלדומי,פ ר ד ס   ס ל ד ו מ י
ראס אל אעבר,ר א ס   א ל   א ע ב ר
סמטת העיט,ס מ ט ת   ה ע י ט
ש צבורי חדש,ש   צ ב ו ר י   ח ד ש
שכ מול היקב,ש כ   מ ו ל   ה י ק ב
קייס בן אלמלוח,ק י י ס   ב ן   א ל מ ל ו ח
אל-מנאמה,א ל - מ נ א מ ה
אלרחאריח,א ל ר ח א ר י ח
אל-פג'ר,א ל - פ ג ' ר
סוטיצקי,ס ו ט י צ ק י
בר יהודה,ב ר   י ה ו ד ה
נתיב המרגנית,נ ת י ב   ה מ ר ג נ י ת
אל מזאר,א ל   מ ז א ר
אבו הוריירה,א ב ו   ה ו ר י י ר ה
מעלות דוד,מ ע ל ו ת   ד ו ד
ביר אסקי,ב י ר   א ס ק י
כפר בלום,כ פ ר   ב ל ו ם
כביש תיכון,כ ב י ש   ת י כ ו ן
יחזקאל לוינשטיין,י ח ז ק א ל   ל ו י נ ש ט י י ן
היצור,ה י צ ו ר
הנס כרסטיאן אנדרסן,ה נ ס   כ ר ס ט י א ן   א נ ד ר ס ן
אלף המגן,א ל ף   ה מ ג ן
"גפן מ""ר","ג פ ן   מ "" ר"
עורב,ע ו ר ב
הגאון,ה ג א ו ן
נווה אפק,נ ו ו ה   א פ ק
רותם,ר ו ת ם
זורע מאיר,ז ו ר ע   מ א י ר
חמדת,ח מ ד ת
ש כיסופים,ש   כ י ס ו פ י ם
גדוד החמישי,ג ד ו ד   ה ח מ י ש י
זאב רבן,ז א ב   ר ב ן
תלפיות ממ,ת ל פ י ו ת   מ מ
מדהלה יעקב,מ ד ה ל ה   י ע ק ב
יורה דעה,י ו ר ה   ד ע ה
סמ כרכום,ס מ   כ ר כ ו ם
עקבת אחני,ע ק ב ת   א ח נ י
וילנה,ו י ל נ ה
בריכטא,ב ר י כ ט א
שכ אבו נופל,ש כ   א ב ו   נ ו פ ל
נחל נעמן,נ ח ל   נ ע מ ן
בר-לב,ב ר - ל ב
תחנת דלק נחשון,ת ח נ ת   ד ל ק   נ ח ש ו ן
שכ הנצחון,ש כ   ה נ צ ח ו ן
שער מנשה ש,ש ע ר   מ נ ש ה   ש
העיגול,ה ע י ג ו ל
גאורג דה הוושי,ג א ו ר ג   ד ה   ה ו ו ש י
שביל הנרקיסים,ש ב י ל   ה נ ר ק י ס י ם
צבי הרמן שפירא,צ ב י   ה ר מ ן   ש פ י ר א
גייקובסון אדי,ג י י ק ו ב ס ו ן   א ד י
"ימק""א","י מ ק "" א"
דאהר אל-עומר,ד א ה ר   א ל - ע ו מ ר
סמטת אלה,ס מ ט ת   א ל ה
אם דלהם,א ם   ד ל ה ם
קורדובה ביח,ק ו ר ד ו ב ה   ב י ח
דרך משואות,ד ר ך   מ ש ו א ו ת
אלעמאל,א ל ע מ א ל
הר החרמון,ה ר   ה ח ר מ ו ן
שד מחל,ש ד   מ ח ל
שכון בלוקונים,ש כ ו ן   ב ל ו ק ו נ י ם
אלגפארי,א ל ג פ א ר י
ינקלוביץ,י נ ק ל ו ב י ץ
אל אנסר,א ל   א נ ס ר
רואוס אל ג'בל,ר ו א ו ס   א ל   ג ' ב ל
חלילן,ח ל י ל ן
ק היסוד שופ,ק   ה י ס ו ד   ש ו פ
עינב לוי,ע י נ ב   ל ו י
קרסל גצל,ק ר ס ל   ג צ ל
הדייגים כיכר,ה ד י י ג י ם   כ י כ ר
קוסטריקה,ק ו ס ט ר י ק ה
סג'א,ס ג ' א
כף אלדב,כ ף   א ל ד ב
קהלת משקוליץ,ק ה ל ת   מ ש ק ו ל י ץ
נוה שאנן,נ ו ה   ש א נ ן
פריחת ההדרים,פ ר י ח ת   ה ה ד ר י ם
רצועת החוף הדרומי,ר צ ו ע ת   ה ח ו ף   ה ד ר ו מ י
מבוא מרגלית,מ ב ו א   מ ר ג ל י ת
סמ שפיפון,ס מ   ש פ י פ ו ן
הגרא,ה ג ר א
מעוז ציון,מ ע ו ז   צ י ו ן
אמיר עודד סרן,א מ י ר   ע ו ד ד   ס ר ן
יקנעם מושב,י ק נ ע ם   מ ו ש ב
השומר ב אמיץ,ה ש ו מ ר   ב   א מ י ץ
"הדרור צ""י","ה ד ר ו ר   צ "" י"
גונן ט קוטגים,ג ו נ ן   ט   ק ו ט ג י ם
ש עובדי מדינ,ש   ע ו ב ד י   מ ד י נ
אל סינאעה,א ל   ס י נ א ע ה
גפן כיכר,ג פ ן   כ י כ ר
סמ החבצלת גני יהודה,ס מ   ה ח ב צ ל ת   ג נ י   י ה ו ד ה
אלכסנדר הידן כיכר,א ל כ ס נ ד ר   ה י ד ן   כ י כ ר
שכ יצחק,ש כ   י צ ח ק
החיתי,ה ח י ת י
ש קרית ספיר,ש   ק ר י ת   ס פ י ר
ג'ורג' דה-הבשי,ג ' ו ר ג '   ד ה - ה ב ש י
איסקוב לאון,א י ס ק ו ב   ל א ו ן
גול בן ציון,ג ו ל   ב ן   צ י ו ן
מבוא התמרים,מ ב ו א   ה ת מ ר י ם
ש קרית אליהו,ש   ק ר י ת   א ל י ה ו
עי ביחר ברבר,ע י   ב י ח ר   ב ר ב ר
"רא""ל אמנון שחק","ר א "" ל   א מ נ ו ן   ש ח ק"
משעול נשיא יוסף,מ ש ע ו ל   נ ש י א   י ו ס ף
שכ בר לב,ש כ   ב ר   ל ב
הרב צירלסון,ה ר ב   צ י ר ל ס ו ן
בן קנז,ב ן   ק נ ז
מינקובסקי,מ י נ ק ו ב ס ק י
איילה סמטה,א י י ל ה   ס מ ט ה
חות הנוער הצ,ח ו ת   ה נ ו ע ר   ה צ
רח מג',ר ח   מ ג '
כפר גנים מערב,כ פ ר   ג נ י ם   מ ע ר ב
"נחל נטוף מ""ר","נ ח ל   נ ט ו ף   מ "" ר"
בארט,ב א ר ט
האומנים,ה א ו מ נ י ם
שכ שנלר,ש כ   ש נ ל ר
ש חדש קש,ש   ח ד ש   ק ש
קסתנא,ק ס ת נ א
מדינת היהודי,מ ד י נ ת   ה י ה ו ד י
שלמה מיכאלס,ש ל מ ה   מ י כ א ל ס
סיפון,ס י פ ו ן
אל קדאא,א ל   ק ד א א
ברנרד כץ,ב ר נ ר ד   כ ץ
השל יהושע פרופ',ה ש ל   י ה ו ש ע   פ ר ו פ '
גמל,ג מ ל
גבעת בילו,ג ב ע ת   ב י ל ו
רחבת עבדת,ר ח ב ת   ע ב ד ת
הולר מוסד,ה ו ל ר   מ ו ס ד
אום אל-פרג,א ו ם   א ל - פ ר ג
חולות,ח ו ל ו ת
גרינברג חיים,ג ר י נ ב ר ג   ח י י ם
משעול מירזיוף,מ ש ע ו ל   מ י ר ז י ו ף
תנובה,ת נ ו ב ה
חניאל,ח נ י א ל
"בי""ס כרמית","ב י "" ס   כ ר מ י ת"
ש גבעת חן,ש   ג ב ע ת   ח ן
רבינוביץ יהושע,ר ב י נ ו ב י ץ   י ה ו ש ע
אלואיל אריה,א ל ו א י ל   א ר י ה
מונטפיורי שד,מ ו נ ט פ י ו ר י   ש ד
גוז'קוב,ג ו ז ' ק ו ב
שלוחות,ש ל ו ח ו ת
רובע קוממיות,ר ו ב ע   ק ו מ מ י ו ת
ראס אל מקסר,ר א ס   א ל   מ ק ס ר
ניב דוד,נ י ב   ד ו ד
אורי ליפשיץ,א ו ר י   ל י פ ש י ץ
ביח איכילוב,ב י ח   א י כ י ל ו ב
יוסף אהרונוביץ,י ו ס ף   א ה ר ו נ ו ב י ץ
שדרת האיכרים,ש ד ר ת   ה א י כ ר י ם
שלהבת,ש ל ה ב ת
חארת  מוסל,ח א ר ת     מ ו ס ל
דרום אפריק ש,ד ר ו ם   א פ ר י ק   ש
אלסחאפי,א ל ס ח א פ י
הפרסים,ה פ ר ס י ם
אילתי נפתלי,א י ל ת י   נ פ ת ל י
גל הזהב,ג ל   ה ז ה ב
רוני,ר ו נ י
שד ערים תאומות,ש ד   ע ר י ם   ת א ו מ ו ת
שכון א צפון,ש כ ו ן   א   צ פ ו ן
שארע אל-עין,ש א ר ע   א ל - ע י ן
בן נריה,ב ן   נ ר י ה
הוד הכרמל,ה ו ד   ה כ ר מ ל
משעול אביגדור קרמר,מ ש ע ו ל   א ב י ג ד ו ר   ק ר מ ר
שכ אחוזת ברכפלד,ש כ   א ח ו ז ת   ב ר כ פ ל ד
גורג דה -הבשי,ג ו ר ג   ד ה   - ה ב ש י
יואל משה סלומון,י ו א ל   מ ש ה   ס ל ו מ ו ן
אל ת'וריה,א ל   ת ' ו ר י ה
בועינה,ב ו ע י נ ה
גדעון שפוני,ג ד ע ו ן   ש פ ו נ י
מצפה רמון צר,מ צ פ ה   ר מ ו ן   צ ר
שכ הנוצרים,ש כ   ה נ ו צ ר י ם
אהרון מסקין,א ה ר ו ן   מ ס ק י ן
בית רעים,ב י ת   ר ע י ם
ל'אמיג',ל ' א מ י ג '
ש מח דוד,ש   מ ח   ד ו ד
סמ שרירא,ס מ   ש ר י ר א
הרב אבו חצירה,ה ר ב   א ב ו   ח צ י ר ה
רויאל ביץ,ר ו י א ל   ב י ץ
משעול השזיף,מ ש ע ו ל   ה ש ז י ף
נאות הפרחים,נ א ו ת   ה פ ר ח י ם
תח דלק גדרה,ת ח   ד ל ק   ג ד ר ה
עולי קניה,ע ו ל י   ק נ י ה
בורג לקלק,ב ו ר ג   ל ק ל ק
אלבאניאס,א ל ב א נ י א ס
אורי לסר,א ו ר י   ל ס ר
בית גמל,ב י ת   ג מ ל
מיצד,מ י צ ד
גלעד מכבים רעות,ג ל ע ד   מ כ ב י ם   ר ע ו ת
"הר זיו מ""ר","ה ר   ז י ו   מ "" ר"
אבנר בן נר,א ב נ ר   ב ן   נ ר
משעול המכתשים,מ ש ע ו ל   ה מ כ ת ש י ם
משעול אורן,מ ש ע ו ל   א ו ר ן
פרופ' ארליך דוד,פ ר ו פ '   א ר ל י ך   ד ו ד
גבורי יעקב,ג ב ו ר י   י ע ק ב
שד העשור,ש ד   ה ע ש ו ר
האודם,ה א ו ד ם
נוגה,נ ו ג ה
ככר דגון,כ כ ר   ד ג ו ן
גב ים,ג ב   י ם
אל נעסה,א ל   נ ע ס ה
דיר ראפת,ד י ר   ר א פ ת
"פלי""ם","פ ל י "" ם"
שד' קציר אפרים,ש ד '   ק צ י ר   א פ ר י ם
עסאויה,ע ס א ו י ה
יחיאל בריל,י ח י א ל   ב ר י ל
ק עמל אקדמא,ק   ע מ ל   א ק ד מ א
קעקור אלעבסה,ק ע ק ו ר   א ל ע ב ס ה
אשכולי,א ש כ ו ל י
אל לומאם,א ל   ל ו מ א ם
כנענים,כ נ ע נ י ם
ש גבעת שושנה,ש   ג ב ע ת   ש ו ש נ ה
אלמראבט,א ל מ ר א ב ט
ככר העצמאות,כ כ ר   ה ע צ מ א ו ת
תריא,ת ר י א
חוף גיא,ח ו ף   ג י א
עלית ש ב,ע ל י ת   ש   ב
בן שמן מושב,ב ן   ש מ ן   מ ו ש ב
הרב זכריה פנחס,ה ר ב   ז כ ר י ה   פ נ ח ס
מאיר יעקב,מ א י ר   י ע ק ב
אל-דח'אן,א ל - ד ח ' א ן
הפסנתר כיכר,ה פ ס נ ת ר   כ י כ ר
מבוא הספנים,מ ב ו א   ה ס פ נ י ם
לוץ,ל ו ץ
מע כפר שלם,מ ע   כ פ ר   ש ל ם
העגלה,ה ע ג ל ה
מכלוף יעקב,מ כ ל ו ף   י ע ק ב
סמטת הרקפת,ס מ ט ת   ה ר ק פ ת
אל-פרסאן,א ל - פ ר ס א ן
חפץ חיים,ח פ ץ   ח י י ם
קוטז,ק ו ט ז
תדהר סמ,ת ד ה ר   ס מ
שמשון זליג,ש מ ש ו ן   ז ל י ג
שכון הדרום,ש כ ו ן   ה ד ר ו ם
ככר צים,כ כ ר   צ י ם
הלוחמים בנאצים,ה ל ו ח מ י ם   ב נ א צ י ם
גרשון,ג ר ש ו ן
"יש""ר מקנדיא","י ש "" ר   מ ק נ ד י א"
עובדה שדרות,ע ו ב ד ה   ש ד ר ו ת
שניאורסון,ש נ י א ו ר ס ו ן
דרך פניגר,ד ר ך   פ נ י ג ר
חות השומר,ח ו ת   ה ש ו מ ר
זהר טל,ז ה ר   ט ל
קרית יובל א,ק ר י ת   י ו ב ל   א
א .ק .,א   . ק   .
רוקח שדרות,ר ו ק ח   ש ד ר ו ת
מרדכי סעדה,מ ר ד כ י   ס ע ד ה
שעריה ש חדש,ש ע ר י ה   ש   ח ד ש
שכ החלוצים,ש כ   ה ח ל ו צ י ם
ש ק עמל,ש   ק   ע מ ל
